epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2004.44,0.81501,1.75766,1.1996,0.63987,0.65499,0.71045,0.60574,0.58587,1.0786,1.09004,0.008152,0.008152,0.008152
58,2039.24,0.8044,1.74228,1.19387,0.63413,0.6668,0.70907,0.60638,0.57492,1.07501,1.08245,0.008119,0.008119,0.008119
59,2073.48,0.80324,1.73072,1.19541,0.62402,0.67441,0.71208,0.60724,0.58307,1.07253,1.08966,0.008086,0.008086,0.008086
60,2108.06,0.79731,1.71078,1.18771,0.65858,0.65368,0.72518,0.61948,0.57359,1.04594,1.08103,0.008053,0.008053,0.008053
61,2142.19,0.79227,1.68844,1.18494,0.66319,0.67157,0.72912,0.621,0.576,1.03254,1.08434,0.00802,0.00802,0.00802
62,2176.53,0.79671,1.68993,1.18729,0.66028,0.68344,0.73518,0.62734,0.57788,1.01593,1.08373,0.007987,0.007987,0.007987
63,2210.68,0.79793,1.67532,1.18593,0.66845,0.66769,0.73148,0.62802,0.57357,1.01713,1.07976,0.007954,0.007954,0.007954
64,2245.03,0.78885,1.6744,1.18204,0.65313,0.6956,0.73831,0.63128,0.57386,1.0129,1.08266,0.007921,0.007921,0.007921
65,2279.29,0.7944,1.64823,1.18661,0.68253,0.66929,0.74114,0.63263,0.57343,0.9975,1.08012,0.007888,0.007888,0.007888
66,2313.59,0.7904,1.6285,1.18339,0.69098,0.67341,0.74258,0.63567,0.57056,0.99678,1.07905,0.007855,0.007855,0.007855
67,2347.53,0.78807,1.634,1.18644,0.70595,0.6703,0.74849,0.6419,0.56959,0.9819,1.07707,0.007822,0.007822,0.007822
68,2381.9,0.79083,1.60137,1.18442,0.67551,0.68552,0.75064,0.64425,0.56992,0.98205,1.07556,0.007789,0.007789,0.007789
69,2416.5,0.77928,1.58808,1.17602,0.69897,0.68995,0.75671,0.6496,0.56876,0.96889,1.0764,0.007756,0.007756,0.007756
70,2460.8,0.78706,1.61785,1.18079,0.67363,0.70247,0.75711,0.64998,0.5679,0.96068,1.07772,0.007723,0.007723,0.007723
71,2498.48,0.77329,1.56837,1.17046,0.69491,0.6931,0.76164,0.65336,0.56388,0.94704,1.07257,0.00769,0.00769,0.00769
72,2532.75,0.78033,1.58414,1.17398,0.68909,0.70565,0.76386,0.65667,0.56136,0.94089,1.07128,0.007657,0.007657,0.007657
73,2567.33,0.78257,1.55808,1.17656,0.6931,0.71956,0.76889,0.66011,0.56012,0.93197,1.07012,0.007624,0.007624,0.007624
74,2601.51,0.78088,1.56245,1.17963,0.68951,0.71982,0.77238,0.66409,0.55984,0.92781,1.07119,0.007591,0.007591,0.007591
75,2636.21,0.76435,1.53125,1.16318,0.7285,0.68778,0.77254,0.66434,0.55995,0.92066,1.07166,0.007558,0.007558,0.007558
76,2670.27,0.77485,1.54878,1.17401,0.70638,0.7048,0.77075,0.66357,0.56053,0.91839,1.07155,0.007525,0.007525,0.007525
77,2704.89,0.76698,1.49791,1.16304,0.68642,0.71651,0.77348,0.66599,0.56148,0.91826,1.07425,0.007492,0.007492,0.007492
78,2738.98,0.77513,1.52867,1.17192,0.74116,0.67894,0.77391,0.66544,0.55838,0.91592,1.07148,0.007459,0.007459,0.007459
79,2773.58,0.7674,1.50124,1.1687,0.72063,0.70494,0.77678,0.66814,0.55619,0.90466,1.06993,0.007426,0.007426,0.007426
80,2807.84,0.76826,1.49573,1.16627,0.7456,0.68914,0.77735,0.6696,0.55499,0.9007,1.06945,0.007393,0.007393,0.007393
81,2842.61,0.76705,1.48608,1.16413,0.72603,0.71283,0.78317,0.67482,0.55426,0.89465,1.06796,0.00736,0.00736,0.00736
82,2876.78,0.76148,1.46551,1.16047,0.70338,0.73345,0.78478,0.67831,0.55321,0.89021,1.06713,0.007327,0.007327,0.007327
83,2911.32,0.76453,1.48227,1.16583,0.74361,0.70807,0.78849,0.68136,0.55203,0.88291,1.06539,0.007294,0.007294,0.007294
84,2945.54,0.76359,1.47416,1.16437,0.72855,0.72511,0.79107,0.6839,0.55145,0.87538,1.06599,0.007261,0.007261,0.007261
85,2979.7,0.76558,1.4563,1.16076,0.71745,0.74216,0.79221,0.68382,0.5505,0.86895,1.0649,0.007228,0.007228,0.007228
86,3015.33,0.75897,1.43797,1.15983,0.72069,0.74414,0.79361,0.68466,0.54995,0.86772,1.06576,0.007195,0.007195,0.007195
87,3062.95,0.76093,1.42397,1.16144,0.72612,0.74303,0.79545,0.68605,0.54924,0.86652,1.0652,0.007162,0.007162,0.007162
88,3100.17,0.75365,1.42803,1.15292,0.72547,0.74915,0.79718,0.68707,0.55003,0.86565,1.06499,0.007129,0.007129,0.007129
89,3134.4,0.75589,1.41772,1.15518,0.73084,0.73913,0.79862,0.68885,0.55038,0.86072,1.06443,0.007096,0.007096,0.007096
90,3168.72,0.74784,1.4052,1.15528,0.75132,0.7226,0.79909,0.68902,0.5511,0.85956,1.06597,0.007063,0.007063,0.007063
91,3202.69,0.75935,1.40511,1.15916,0.73824,0.7393,0.80026,0.69088,0.5505,0.85731,1.06523,0.00703,0.00703,0.00703
92,3237.24,0.74503,1.38434,1.15276,0.73067,0.74309,0.79972,0.69147,0.54853,0.85517,1.06362,0.006997,0.006997,0.006997
